"Country","Sex","Year","Age-standardised diabetes prevalence","Age-standardised_Lower 95% uncertainty interval","Age-standardised_Upper 95% uncertainty interval","Crude diabetes prevalence","Crude_Lower 95% uncertainty interval","Crude_Upper 95% uncertainty interval","Number of adults with diabetes","Number_Lower 95% uncertainty interval","Number_Upper 95% uncertainty interval"
"United States of America","Men",2001,0.0715378109258956,0.0533430389977361,0.0932545115373507,0.0776685199398361,0.0582793305085491,0.100847785075508,8043414.58793131,5718177.07520985,10920851.8752914
"United States of America","Men",2002,0.0726251925300042,0.0548576266594751,0.0938552198061942,0.0794557410061726,0.0602518532230809,0.102379434102844,8328715.08673941,5971521.36870221,11247831.5169423
"United States of America","Men",2003,0.0736396866786174,0.0559774743799992,0.0948910843055588,0.0812185070218535,0.0619796750423948,0.104598061889499,8613381.41936139,6213564.9044612,11573247.1987085
"United States of America","Men",2004,0.0745845087616866,0.0570686004058134,0.0957236229587774,0.082958974919484,0.0637321654302825,0.106173852764099,8900209.34073603,6464725.17206349,11918412.1698723
"United States of America","Men",2005,0.0754817828253897,0.0579827199311025,0.0971576925447444,0.0846964505168828,0.0653237364108007,0.108759701110846,9193260.54294292,6699288.48326928,12318960.820855
"United States of America","Men",2006,0.0763438363816496,0.0588083856066714,0.0990812915788081,0.0864424132193025,0.0667792066448322,0.111913462658498,9494271.87603268,6909010.46811367,12773888.002428
"United States of America","Men",2007,0.0771013929478359,0.0589300544065117,0.100772697347143,0.088109913781612,0.0675559470925448,0.114813651361302,9792773.5734797,7091593.61570066,13261372.5937968
"United States of America","Men",2008,0.0777626525105908,0.0587558547731318,0.103011728300021,0.0896842463209829,0.0679181531966676,0.118598245766438,10086037.3516743,7247826.63563159,13796821.0669813
"United States of America","Men",2009,0.0783607288966312,0.0580160983083565,0.105624852906477,0.0911740926706652,0.0680175711612664,0.1221688881772,10373384.8551779,7329697.7898494,14406134.0257241
"United States of America","Men",2010,0.0789550868349627,0.0570388914056265,0.108681477458885,0.092627088908792,0.0674596926069305,0.126345632839469,10658892.6559794,7353362.97331959,15031793.6944807
"United States of America","Men",2011,0.0796584718219041,0.0553849768237846,0.112655844358284,0.0941614383405826,0.0660994174447216,0.131983837615334,10955907.6623052,7319997.60309971,15786959.8807275
"United States of America","Men",2012,0.0803070426529671,0.0539940843849774,0.117157395451225,0.0955920936267177,0.0652019314077204,0.137765947833334,11243055.4694996,7250309.96310875,16632809.7755655
"United States of America","Men",2013,0.0809874206546,0.0519248690055394,0.122107263773578,0.0970248917291713,0.0631830289674025,0.143594030524522,11532139.2899264,7116240.49841805,17593134.7842617
"United States of America","Men",2014,0.0816965429347135,0.049176636083383,0.126883006999182,0.098468886900115,0.0603693317638983,0.150533079544568,11823872.8344264,6932973.75194913,18611363.1784946
"United States of America","Women",1980,0.0432094352082387,0.0205880670560436,0.0810345591360118,0.0501795344586087,0.0254371762628268,0.0895726019093604,4348446.39524668,1972704.33622417,7915569.78319666
"United States of America","Women",1981,0.0434929105909202,0.0220488664773713,0.0782044661461484,0.0505334776650081,0.0272519778777087,0.0867820938630987,4452736.36252548,2139255.2984888,7837409.53907663
"United States of America","Women",1982,0.0438353747730962,0.0235938981378844,0.0757937418620665,0.0509642895016524,0.0287774668540462,0.084327832415323,4559305.08077078,2306379.47394345,7741511.61227236
"United States of America","Women",1983,0.0442545592625352,0.0246441010330077,0.0736270951395327,0.0514918014438608,0.0303574323349619,0.0823322206702731,4670962.76724953,2473345.18950835,7699643.96820626
"United States of America","Women",1984,0.0447709350034564,0.0258614942840817,0.0718516026112308,0.0521385059455208,0.031807212115774,0.0809760476133136,4791584.47416702,2646234.72664266,7683081.38661428
"United States of America","Women",1985,0.0453421381070025,0.0272643360072005,0.0708656887169905,0.0528607944014615,0.0334017841112765,0.079751325633944,4918656.53340907,2813478.93323999,7708830.93222463
"United States of America","Women",1986,0.0459610499772113,0.0285171930000503,0.0702402331466757,0.0536534606002353,0.0349190957641324,0.0785937408867566,5052213.34696353,2982724.96468235,7765143.05563903
"United States of America","Women",1987,0.0466073516010757,0.029743383763145,0.069845755305357,0.0544944734833211,0.0362715018831858,0.0786640821939361,5190030.49440028,3137937.09691392,7837253.87002738
"United States of America","Women",1988,0.0472820590096695,0.0305986304867005,0.0694651472392873,0.0553779194838967,0.0374221440614678,0.0787736782813765,5331576.78152509,3277086.36821061,7935624.77398712
