"Country","Sex","Year","Age-standardised mean systolic blood pressure (mmHg)","Age-standardised mean systolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean systolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure (mmHg)","Age-standardised mean diastolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised prevalence of raised blood pressure","Age-standardised prevalence of raised blood pressure lower 95% uncertainty interval","Age-standardised prevalence of raised blood pressure upper 95% uncertainty interval","Crude prevalence of raised blood pressure","Crude prevalence of raised blood pressure lower 95% uncertainty interval","Crude prevalence of raised blood pressure upper 95% uncertainty interval","Number of adults with raised blood pressure","Number of adults with raised blood pressure lower 95% uncertainty interval","Number of adults with raised blood pressure upper 95% uncertainty interval"
"United States of America","Men",1992,123.432467795807,121.876321350465,124.985596252865,75.1003961680081,74.0474633208892,76.151894193442,0.202293030781874,0.165496446940159,0.240385513369446,0.207479271648526,0.170633745162712,0.245668747794079,19118293.5914539,15248370.9760896,23055130.3652038
"United States of America","Men",1993,123.133116421154,121.611442439503,124.673988126016,74.8793166849567,73.8446527802966,75.9127852501032,0.197942227144485,0.161813405609546,0.235114407051126,0.203860606826094,0.167380990809445,0.241532407553569,18986813.6656705,15098079.2949223,22928445.2890903
"United States of America","Men",1994,122.866478181385,121.339754072273,124.390261866794,74.6832272965729,73.665635134798,75.7017025481792,0.193904906591725,0.15879081887907,0.230222751606315,0.200537966056752,0.16500461088876,0.237170983139799,18889892.0584532,14996740.8329482,22835928.6028869
"United States of America","Men",1995,122.633371504637,121.127502390635,124.133339693831,74.510506002992,73.5067342608123,75.5341703293007,0.1901257124102,0.156157941066074,0.22562082135417,0.197452874031097,0.162694201621003,0.233499114208589,18827943.662536,14944740.6613332,22775554.6164635
"United States of America","Men",1996,122.435275617409,120.944353556752,123.894631399509,74.3618867430073,73.3615168640165,75.3784507968754,0.186612215844952,0.15364043508553,0.22145405123817,0.194610328725397,0.160906382830214,0.229907414015683,18804850.4757133,14924251.5237739,22768167.435877
"United States of America","Men",1997,122.275805896926,120.803408053012,123.740319342062,74.2311799905276,73.2348347892035,75.2216071602073,0.183334061852537,0.151039108263167,0.217254898833793,0.191986128676812,0.158841322013865,0.226999062731861,18815399.493097,14918145.7844584,22797377.4796089
"United States of America","Men",1998,122.160013862446,120.671152619784,123.599498558554,74.1263621231177,73.1497382316631,75.1053813508046,0.180388214246815,0.149149188022089,0.213603356608122,0.189700752054095,0.157394880864131,0.224022027431328,18863421.3450684,14961012.1833044,22885296.6380682
"United States of America","Men",1999,122.081780396197,120.594472550588,123.542605732024,74.0418510138062,73.0664353236442,75.0137666851852,0.177710355896799,0.147053220318076,0.209968536091593,0.187715000107051,0.156002690702756,0.221221240731446,18934276.1344729,15021489.2816087,22976063.3905964
"United States of America","Men",2000,122.037026527345,120.535772982732,123.498733656384,73.9720386258756,73.0025643811562,74.9320592906441,0.175225702667807,0.145724298112471,0.206717065154893,0.185971935699123,0.155239026651562,0.218982896555181,19015071.3564023,15097036.4898821,23089146.4984985
"United States of America","Men",2001,122.025637632868,120.516025317398,123.499031153739,73.9152304400032,72.9504523444896,74.8674779455276,0.172905366489269,0.144096470725646,0.204254912115104,0.184443498660416,0.154309586971858,0.217170732366885,19101117.5302874,15182679.46477,23201439.4426465
"United States of America","Men",2002,122.050930191182,120.564156141123,123.511133029483,73.8722784154245,72.8994968588554,74.8141779121249,0.170788216563616,0.142423279227923,0.201763953421975,0.183170505849221,0.153415556036512,0.215656279623248,19200311.2197215,15245313.1556234,23341548.3797371
"United States of America","Men",2003,122.114292499406,120.622045878256,123.591433700276,73.8456953413401,72.8759913293494,74.7998459267739,0.168916624355232,0.140517639605285,0.19925020037627,0.182210190764938,0.15218533278158,0.213862252671219,19323746.8786606,15317644.2401513,23519998.8317041
"United States of America","Men",2004,122.206079892033,120.695765796251,123.69264885496,73.8309759946066,72.864245022437,74.8118181256165,0.167226474809199,0.139243936284216,0.197186197589052,0.181506403838117,0.151826182026925,0.213129834965893,19472817.647654,15405354.2442706,23704395.1540455
"United States of America","Men",2005,122.330428381513,120.80025066486,123.84571838836,73.8320331103055,72.8445520006667,74.8453426182887,0.165819942061853,0.137775962487882,0.196072277017207,0.181172327167078,0.151432914062097,0.213169042094372,19665102.807186,15479924.2543899,23969005.5139333
"United States of America","Men",2006,122.480955446443,120.938743546533,124.032489648386,73.8438798797574,72.8332980038938,74.8942000959281,0.164623627035241,0.135918205266224,0.195319304915594,0.181135073459194,0.150429353129266,0.213968977931937,19894697.1707486,15577395.3047305,24331987.4803716
"United States of America","Men",2007,122.635792429347,121.029226238282,124.274472761781,73.8503495696358,72.7929429991813,74.9111923250869,0.163364486652569,0.133563615880469,0.195051700626873,0.181087083139915,0.148944220505064,0.215461361682098,20126507.0655553,15628615.3251409,24745131.4256833
"United States of America","Men",2008,122.784083750201,121.103697104709,124.506334012512,73.8483923039215,72.7028925911899,74.9638165971489,0.161994757736252,0.130880742763327,0.195900825827084,0.180940886836132,0.146777712331584,0.217925817258818,20348908.7318931,15622573.4094275,25221936.2534118
"United States of America","Men",2009,122.921439479185,121.058762356208,124.751456021069,73.8402706737536,72.6189322684291,75.0228277136434,0.160572813703978,0.12779814460198,0.197048332727379,0.180717007879694,0.144606787742423,0.220639396239789,20561181.5560785,15559906.7199465,25757641.7299668
"United States of America","Men",2010,123.039532892745,121.058600950841,125.031652774537,73.81708990485,72.5061551620727,75.0935845886837,0.159119557915522,0.123902265708942,0.198181835497549,0.180409409028957,0.141341172399089,0.222958000739331,20760282.4143793,15419585.556118,26382701.5903113
"United States of America","Men",2011,123.147311472925,120.957602228393,125.387818345803,73.7906438058628,72.3515811333631,75.2073254986299,0.157765263874475,0.120430881427868,0.199679328725273,0.180149681074314,0.138587711063716,0.226715778081917,20960844.5455667,15246640.5277084,27072690.0823317
"United States of America","Men",2012,123.259118057331,120.839992801138,125.747640533342,73.7555696341177,72.1455968240248,75.3514471815152,0.156534919759134,0.116529825482991,0.203192559450958,0.179972925904729,0.135245530023883,0.231819403246474,21167499.4467267,15024465.1512294,27883419.9351429
"United States of America","Men",2013,123.362612524883,120.627585433749,126.236130542222,73.7152991759014,71.9155174232516,75.5460362896456,0.15533760251714,0.112488063928488,0.207502684485983,0.179791629030016,0.131498104058671,0.238122204546526,21369589.5165172,14768113.3038222,28836214.8566799
